                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5358,                 4.4594,                 1.3429,                0.00176,                0.16405,                0.07525,                0.05785,                 1.2383,                 4.0672,                 1.1622,               9.09e-05,               9.09e-05,               9.09e-05
                      2,                 1.4737,                 3.4188,                 1.2294,                0.02624,                0.20793,                0.10664,                0.08227,                 1.2611,                 3.7514,                 1.0689,             0.00018837,             0.00018837,             0.00018837
                      3,                 1.3892,                 2.4808,                 1.1681,                0.02706,                 0.2144,                0.13614,                0.08566,                  1.415,                 3.7386,                 1.2315,              0.0002832,              0.0002832,              0.0002832
                      4,                 1.3924,                 2.1268,                 1.1553,                0.02354,                0.20824,                 0.1334,                0.09792,                  1.266,                 3.6262,                 1.1063,             0.00037539,             0.00037539,             0.00037539
                      5,                 1.3144,                 1.9827,                 1.1522,                      1,                0.03506,                0.16493,                0.13125,                 1.3325,                 3.3984,                 1.0904,             0.00046494,             0.00046494,             0.00046494
                      6,                 1.2781,                 1.8376,                 1.1048,                      1,                0.06286,                0.15196,                0.10441,                 1.3946,                  3.419,                 1.1081,             0.00055185,             0.00055185,             0.00055185
                      7,                  1.269,                  1.745,                 1.1144,                0.98165,                0.10526,                0.13823,                0.10722,                 1.3479,                  3.273,                 1.1147,             0.00063613,             0.00063613,             0.00063613
                      8,                 1.2781,                  1.662,                 1.1081,                0.78269,                0.10389,                0.21228,                0.14613,                 1.4171,                 2.9395,                 1.1225,             0.00071776,             0.00071776,             0.00071776
                      9,                 1.2579,                 1.6012,                 1.1243,                0.95208,                0.13534,                0.23911,                0.15275,                  1.414,                 2.9596,                 1.1312,             0.00079675,             0.00079675,             0.00079675
                     10,                   1.29,                 1.5306,                 1.1206,                0.69906,                0.16406,                0.23933,                0.13788,                 1.4855,                 2.5935,                 1.1403,             0.00080101,             0.00080101,             0.00080101
                     11,                 1.2095,                 1.4198,                 1.0857,                0.85999,                0.18434,                0.23823,                0.12705,                 1.5388,                 2.3994,                 1.3536,             0.00078901,             0.00078901,             0.00078901
                     12,                  1.219,                 1.4043,                 1.0946,                0.76977,                0.21871,                0.22876,                0.13641,                 1.4616,                 2.7209,                 1.2007,             0.00077701,             0.00077701,             0.00077701
                     13,                 1.2052,                  1.339,                   1.09,                0.43219,                0.39991,                 0.3811,                0.25723,                 1.3278,                 1.5158,                 1.1152,             0.00076501,             0.00076501,             0.00076501
                     14,                 1.1874,                 1.2118,                 1.0871,                0.76885,                0.38497,                0.43993,                0.29384,                 1.3678,                 1.6303,                 1.1054,             0.00075302,             0.00075302,             0.00075302
                     15,                  1.219,                 1.2046,                 1.0837,                0.86764,                0.30188,                0.35219,                0.22992,                 1.3828,                 1.6873,                 1.1324,             0.00074102,             0.00074102,             0.00074102
                     16,                 1.1982,                 1.1592,                 1.0661,                0.85081,                0.35047,                0.38771,                0.27869,                 1.3645,                 1.4686,                 1.1027,             0.00072902,             0.00072902,             0.00072902
                     17,                 1.1921,                 1.1579,                 1.0725,                0.66863,                0.44016,                0.48574,                0.33425,                 1.3186,                 1.2808,                 1.1166,             0.00071702,             0.00071702,             0.00071702
                     18,                 1.1516,                 1.0716,                 1.0676,                0.52061,                0.59769,                  0.571,                0.35383,                 1.3446,                 1.2544,                 1.1092,             0.00070502,             0.00070502,             0.00070502
                     19,                 1.1381,                 1.0457,                 1.0579,                0.68089,                0.57751,                0.60603,                0.38239,                  1.339,                 1.2822,                 1.0753,             0.00069302,             0.00069302,             0.00069302
